id	height	weight	age	heartRate	passed
1	67	197	32	72	n
2	66	205	44	66	n
3	68	165	44	65	n
4	72	170	40	67	n
5	73	165	37	73	n
6	66	168	35	89	y
7	68	168	35	71	n
8	71	198	35	81	y
9	69	151	35	78	n
10	69	163	32	56	n
11	69	181	42	62	y
12	67	131	37	80	n
13	69	167	38	73	n
14	69	150	32	82	n
15	70	178	30	75	n
16	69	152	30	58	n
17	66	180	25	84	y
18	72	178	27	94	y
19	69	160	35	86	n
20	70	171	37	65	n
21	70	166	29	56	n
22	69	159	31	60	n
23	72	210	29	91	y
24	67	136	35	74	n
25	67	168	34	81	y
26	69	184	37	64	n
27	69	180	27	84	y
28	67	158	26	86	y
29	71	186	30	70	n
30	67	214	32	81	y
31	70	157	37	74	n
32	66	206	34	78	y
33	68	157	38	59	n
34	69	172	29	64	n
35	69	204	33	95	y
36	68	199	27	76	n
37	67	192	38	77	y
38	68	170	41	66	n
39	71	195	35	64	y
40	69	175	28	82	y
41	72	216	38	85	y
42	71	191	42	81	y
43	69	180	34	62	n
44	72	190	35	79	n
45	66	188	32	69	n
46	70	188	40	67	n
47	69	159	30	55	n
48	69	172	33	43	n
49	70	205	18	83	y
50	73	157	36	74	n
51	70	161	36	64	n
52	69	171	35	57	y
53	70	150	34	60	n
54	72	195	39	87	y
55	71	158	29	74	n
56	71	194	39	96	y
57	65	168	30	60	n
58	70	179	35	65	n
59	67	187	41	83	y
60	67	218	36	84	y
61	69	205	29	74	n
62	66	174	49	54	n
63	68	185	33	85	y
64	69	164	44	75	n
65	69	191	35	80	y
66	69	152	30	92	y
67	69	197	38	77	y
68	67	159	36	75	n
69	67	159	35	66	n
70	70	142	45	61	n
71	69	176	35	78	n
72	68	157	47	75	n
73	71	189	34	81	n
74	68	194	40	104	y
75	71	189	34	79	y
76	67	171	31	68	n
77	66	172	27	68	n
78	70	161	34	52	n
79	69	175	40	60	y
80	65	207	44	89	y
81	67	189	36	61	n
82	69	177	40	92	y
83	70	180	38	80	n
84	69	195	31	76	y
85	70	197	35	92	y
86	69	180	41	84	y
87	66	174	35	76	y
88	68	157	35	64	n
89	69	175	32	83	y
90	69	210	38	90	y
91	67	190	34	80	y
92	69	176	32	80	y
93	70	176	45	69	n
94	67	207	35	97	y
95	72	178	35	67	n
96	66	196	32	80	y
97	71	139	28	65	n
98	69	155	29	62	n
99	68	214	35	73	y
100	67	162	37	60	n
101	70	156	40	56	n
102	68	161	34	74	n
103	70	155	37	54	n
104	70	194	39	94	y
105	69	177	37	87	y
106	67	169	50	85	y
107	71	162	34	70	n
108	67	184	40	58	n
109	68	202	36	82	y
110	67	159	39	65	y
111	69	158	45	58	n
112	69	197	38	86	y
113	68	174	40	54	n
114	69	161	38	75	y
115	67	189	43	71	n
116	69	176	36	81	y
117	71	185	29	75	n
118	70	172	31	71	n
119	66	200	24	67	n
120	69	165	38	67	n
121	70	173	37	65	n
122	68	199	39	80	y
123	72	190	35	81	y
124	69	166	31	86	n
125	71	167	37	81	n
126	67	183	38	95	y
127	71	183	48	82	n
128	67	143	35	77	n
129	69	160	40	53	n
130	68	164	39	65	n
131	68	172	38	67	n
132	67	175	44	67	n
133	72	187	30	84	y
134	69	152	34	56	n
135	70	175	26	59	n
136	70	193	38	69	n
137	72	159	38	55	y
138	70	170	44	77	n
139	69	181	35	66	n
140	71	170	27	80	y
141	67	181	35	59	n
142	69	215	30	72	n
143	71	155	36	65	n
144	69	213	39	82	y
145	70	174	34	82	y
146	68	188	39	81	y
147	69	215	43	77	n
148	67	172	33	76	n
149	69	192	30	75	y
150	69	211	29	93	y
151	72	204	36	91	y
152	69	163	36	65	n
153	69	144	36	75	n
154	69	190	35	85	y
155	68	182	28	85	y
156	66	179	42	88	y
157	70	175	33	74	n
158	69	203	35	74	n
159	69	196	35	100	y
160	69	170	44	67	n
161	70	162	33	71	n
162	69	176	38	79	n
163	69	185	34	85	y
164	70	156	41	88	y
165	69	186	37	85	y
166	69	184	47	54	n
167	66	165	36	91	y
168	68	195	40	77	y
169	69	171	49	58	n
170	69	213	40	86	y
171	68	163	42	69	n
172	69	182	30	73	n
173	66	167	35	75	n
174	72	196	36	92	y
175	69	149	30	66	n
176	69	183	39	65	n
177	69	179	53	76	n
178	69	206	33	82	y
179	68	185	35	86	y
180	68	191	38	88	y
181	67	198	32	75	y
182	67	202	45	75	y
183	69	188	36	71	n
184	65	148	36	67	n
185	69	221	40	85	y
186	72	163	37	65	y
187	69	170	36	73	n
188	67	160	30	60	n
189	69	194	30	104	y
190	68	168	35	62	n
191	69	180	36	62	n
192	67	151	40	65	n
193	71	171	45	77	n
194	71	226	28	89	y
195	69	204	39	86	y
196	69	147	32	66	n
197	68	198	33	68	n
198	67	177	33	59	n
199	73	188	35	71	n
200	68	184	22	84	y
201	67	160	35	69	n
202	69	216	32	81	y
203	69	178	48	58	n
204	69	221	28	83	y
205	67	168	30	59	n
206	70	177	46	62	n
207	67	183	40	71	y
208	68	179	27	72	n
209	69	152	41	66	n
210	66	178	40	66	n
211	69	151	29	87	y
212	69	198	42	98	y
213	69	212	45	95	y
214	69	184	29	64	n
215	69	195	40	68	n
216	71	175	36	63	n
217	69	202	35	105	y
218	68	138	26	68	n
219	70	170	35	93	y
220	69	201	53	97	y
221	74	160	35	73	y
222	69	173	35	69	n
223	71	163	30	71	n
224	68	195	37	80	y
225	70	176	37	76	n
226	69	186	27	81	y
227	70	170	40	65	n
228	71	179	40	49	n
229	69	179	35	90	y
230	68	160	39	75	n
231	67	156	35	75	n
232	69	210	41	83	y
233	69	170	25	68	n
234	67	189	25	93	y
235	72	191	26	73	y
236	69	192	36	84	y
237	69	194	29	73	y
238	68	179	31	51	n
239	71	186	31	64	n
240	67	188	35	78	y
241	72	173	32	50	n
242	70	159	35	65	n
243	66	172	34	78	n
244	68	192	49	73	n
245	69	142	30	49	n
246	69	187	25	64	n
247	69	164	35	76	n
248	69	189	37	82	y
249	69	142	38	59	y
250	67	177	46	82	y
251	69	148	38	81	n
252	68	165	43	61	n
253	71	175	29	65	n
254	65	170	35	67	n
255	68	177	39	65	n
256	68	201	33	73	y
257	69	154	35	66	n
258	67	192	37	85	y
259	70	158	34	74	n
260	67	182	42	85	y
261	69	150	38	50	n
262	67	181	45	76	n
263	67	197	34	64	n
264	67	172	42	83	y
265	68	192	36	65	n
266	70	180	35	75	n
267	70	170	36	68	n
268	69	148	33	63	n
269	67	185	38	59	n
270	71	145	39	63	n
271	70	207	33	76	y
272	71	175	42	54	n
273	70	197	47	88	y
274	69	202	41	74	y
275	72	177	44	83	y
276	69	178	31	89	n
277	69	164	31	60	n
278	70	192	35	92	y
279	65	180	34	84	y
280	72	157	45	63	n
281	67	177	25	83	y
282	69	114	35	74	n
283	69	206	46	65	n
284	69	204	33	78	y
285	68	145	35	74	n
286	69	193	45	83	y
287	67	183	33	64	n
288	68	158	36	83	n
289	69	169	31	64	n
290	69	146	39	69	n
291	69	121	31	60	n
292	68	189	39	75	n
293	65	179	33	67	n
294	69	186	46	67	n
295	69	195	47	78	y
296	68	190	40	84	y
297	65	154	47	76	n
298	68	198	45	87	y
299	67	188	35	87	y
300	70	197	32	64	n
301	69	186	33	92	y
302	70	164	39	64	y
303	68	174	36	61	n
304	69	178	35	43	n
305	69	185	36	84	y
306	66	181	30	80	n
307	69	186	45	80	y
308	74	191	31	91	y
309	73	190	29	66	n
310	67	186	35	82	y
311	70	176	32	59	n
312	68	174	42	66	n
313	69	179	33	85	y
314	70	194	38	61	n
315	68	178	38	56	y
316	69	195	42	83	y
317	69	182	32	102	y
318	68	197	39	86	y
319	69	190	47	92	y
320	69	173	32	62	n
321	69	167	27	54	n
322	69	211	37	89	y
323	68	185	36	56	n
324	69	176	39	88	y
325	69	203	28	91	y
326	69	170	26	74	n
327	67	194	39	74	n
328	67	201	36	82	y
329	70	196	29	91	y
330	69	147	30	65	n
331	69	187	23	91	y
332	66	175	29	65	n
333	68	193	35	72	y
334	69	144	36	64	n
335	68	172	39	89	y
336	69	170	30	101	y
337	70	191	38	87	y
338	68	203	35	79	y
339	67	224	31	93	y
340	70	155	29	70	n
341	70	195	52	65	n
342	67	189	36	83	y
343	69	167	25	78	y
344	71	186	25	82	y
345	69	192	40	80	y
346	72	185	40	88	y
347	69	169	32	65	n
348	70	169	38	65	n
349	69	166	39	63	n
350	68	168	44	74	y
351	69	174	35	72	n
352	70	181	31	77	n
353	67	205	41	75	y
354	72	193	22	101	y
355	67	190	39	85	y
356	71	195	34	79	y
357	68	179	25	55	n
358	68	181	42	65	n
359	70	176	38	56	n
360	69	199	27	61	n
361	70	184	33	86	n
362	69	140	39	48	n
363	70	174	34	64	n
364	65	182	46	80	n
365	69	167	37	52	n
366	69	179	26	78	n
367	66	185	33	77	y
368	69	173	34	62	n
369	69	166	35	92	y
370	69	176	33	53	n
371	67	183	28	48	n
372	69	208	38	88	y
373	69	190	27	74	n
374	69	195	44	72	y
375	65	162	29	67	n
376	72	169	37	85	y
377	71	189	17	87	y
378	69	162	37	90	n
379	70	230	37	93	y
380	69	159	35	70	n
381	69	199	39	85	y
382	70	196	37	77	y
383	71	217	32	98	y
384	69	211	30	88	y
385	66	190	37	85	y
386	66	149	39	69	n
387	73	170	39	88	n
388	69	158	35	54	n
389	71	215	38	86	y
390	69	183	35	81	y
391	71	206	34	88	y
392	69	155	41	63	n
393	72	165	29	74	y
394	69	147	33	50	n
395	70	187	46	76	y
396	68	211	39	73	y
397	69	179	25	76	y
398	69	177	32	97	y
399	67	195	33	85	y
400	71	162	40	57	n
401	71	205	39	93	y
402	67	161	29	85	y
403	71	182	38	53	n
404	71	188	34	86	y
405	67	175	35	75	y
406	68	175	35	65	n
407	64	168	34	70	n
408	69	150	33	77	n
409	69	150	31	101	y
410	70	178	46	64	n
411	69	207	28	85	y
412	69	207	30	87	y
413	69	178	30	54	n
414	69	173	35	73	n
415	68	169	37	67	n
416	69	183	38	66	n
417	71	188	32	76	y
418	70	156	33	64	n
419	69	161	38	62	y
420	72	182	42	89	y
421	72	174	46	94	y
422	67	187	36	72	n
423	68	164	35	83	y
424	71	190	32	91	y
425	71	165	44	82	n
426	70	167	35	55	n
427	69	183	38	71	n
428	70	191	28	89	y
429	66	177	33	91	y
430	69	194	45	95	y
431	69	155	43	92	y
432	68	155	35	76	n
433	68	181	26	65	n
434	68	201	43	82	y
435	68	198	42	81	y
436	69	194	40	97	y
437	67	170	42	61	n
438	73	180	41	51	n
439	69	174	38	70	n
440	69	196	41	85	y
441	67	190	35	91	y
442	68	153	27	79	y
443	72	190	37	84	y
444	69	194	33	65	n
445	70	165	36	63	n
446	71	170	28	83	y
447	67	183	34	72	n
448	67	194	42	95	y
449	68	192	30	79	y
450	68	194	36	56	n
451	68	187	37	96	n
452	68	209	47	72	y
453	68	190	25	94	y
454	69	177	40	60	n
455	70	205	35	86	y
456	66	176	38	89	n
457	67	190	40	99	y
458	65	140	27	65	n
459	66	176	27	64	n
460	70	178	42	90	y
461	69	192	32	64	n
462	68	164	37	56	n
463	67	206	36	88	y
464	69	190	43	96	y
465	70	178	28	87	y
466	69	193	35	68	n
467	69	157	45	70	n
468	65	192	27	63	n
469	72	205	32	61	n
470	69	197	34	70	n
471	63	162	31	49	n
472	70	211	28	90	y
473	69	170	32	70	n
474	68	148	34	64	n
475	69	164	23	66	n
476	67	205	27	99	y
477	69	167	42	88	y
478	70	163	29	67	n
479	73	187	28	84	y
480	70	172	29	85	y
481	69	205	37	88	y
482	68	191	41	93	y
483	69	190	35	95	y
484	67	158	33	60	n
485	69	233	36	95	y
486	73	178	32	84	y
487	69	190	27	89	y
488	68	161	41	69	n
489	66	172	34	71	y
490	69	164	39	78	n
491	66	179	35	103	y
492	69	166	36	64	n
493	73	175	31	56	n
494	69	166	36	66	n
495	69	176	39	74	y
496	70	208	35	89	y
497	66	161	31	64	n
498	65	195	35	90	n
499	69	160	38	62	n
500	71	172	43	50	n
501	69	183	25	67	n
502	66	184	35	86	y
503	72	195	45	88	y
504	70	173	39	47	n
505	70	180	42	81	y
506	67	182	31	94	y
507	69	201	35	64	n
508	69	179	52	62	n
509	69	171	35	58	n
510	70	196	43	79	n
511	70	180	32	77	y
512	67	190	21	73	y
513	69	208	26	78	y
514	70	169	33	60	n
515	68	202	25	79	n
516	71	163	33	57	n
517	70	199	28	85	y
518	70	175	40	76	y
519	68	170	45	65	n
520	70	169	34	67	n
521	69	155	47	64	y
522	67	151	40	66	n
523	70	188	35	66	n
524	69	193	39	85	y
525	68	185	39	70	n
526	69	219	32	81	y
527	72	150	40	72	n
528	68	192	35	79	y
529	70	180	32	65	n
530	70	191	33	82	y
531	69	167	35	57	n
532	68	146	37	56	n
533	70	232	39	88	y
534	66	224	39	85	y
535	68	213	42	75	y
536	69	170	36	57	n
537	67	212	41	74	y
538	69	166	39	74	n
539	69	191	31	98	y
540	68	193	38	67	n
541	69	192	32	100	y
542	68	213	45	91	y
543	73	192	35	85	y
544	69	206	36	100	y
545	67	198	35	76	y
546	72	172	40	67	n
547	70	161	39	75	n
548	68	174	39	76	y
549	67	196	33	64	n
550	69	192	37	81	y
551	69	175	33	88	y
552	70	196	32	76	y
