var1	var2	class
319	137	1
77	290	1
222	237	0
107	52	1
167	192	0
29	156	1
344	29	1
157	139	0
347	340	1
235	224	0
287	125	1
64	48	0
352	345	0
301	265	1
156	116	1
195	31	1
179	262	1
88	427	1
389	257	1
23	267	1
78	27	0
348	205	1
239	12	1
158	81	1
363	263	1
52	30	0
276	343	1
400	360	0
140	113	1
45	134	1
157	238	1
374	344	0
180	145	0
330	191	1
158	323	1
408	157	1
45	364	1
348	197	1
57	76	0
5	223	1
28	149	1
171	168	0
177	16	1
72	169	1
168	78	1
327	312	0
185	142	1
237	208	0
50	376	1
303	163	1
349	231	1
417	55	1
271	-41	1
95	178	1
100	216	1
169	171	0
38	53	0
29	73	0
86	352	1
171	302	1
86	21	1
263	178	1
71	133	1
125	389	1
50	222	1
175	94	1
350	328	0
219	249	0
220	70	1
88	49	0
58	257	1
284	75	1
226	392	1
26	58	1
341	323	0
373	56	1
326	213	1
118	76	1
146	123	0
26	350	1
248	314	1
31	244	1
331	315	0
322	247	1
52	124	1
325	286	0
137	49	1
39	353	1
370	351	0
405	387	0
278	164	1
330	331	0
348	282	0
159	26	1
34	248	1
282	156	1
209	9	1
175	365	1
338	279	1
50	361	1
57	336	0
67	306	1
59	175	1
134	345	1
350	105	0
226	220	1
153	130	0
259	374	1
34	264	1
48	126	1
345	22	1
368	125	1
260	248	0
99	182	1
10	266	1
299	70	1
368	252	1
146	66	1
241	57	1
203	39	1
-7	354	1
28	67	0
72	378	1
242	27	1
33	324	1
339	72	1
162	148	0
16	348	1
54	268	1
25	344	1
92	67	0
370	362	0
111	271	1
207	74	1
380	355	0
93	50	0
164	118	0
354	55	1
385	44	1
321	354	0
346	42	1
301	394	1
239	329	1
264	175	1
182	247	1
106	330	1
32	277	1
231	36	1
254	79	1
250	362	1
131	379	1
257	320	1
149	237	1
41	88	0
289	368	1
132	76	1
334	248	1
128	104	1
139	79	1
127	69	0
62	42	0
205	28	1
69	211	1
52	411	1
269	55	1
46	379	1
